# N p M np  nproc  N  p  M  avgSteps  avgTime  bottomFraction
50 0.6 50 1 1 50 0.6 50 84.3 0.000227508 0.62
50 0.6 50 2 2 50 0.6 50 54.46 0.000335819 0
50 0.6 50 4 4 50 0.6 50 24.3 0.000321392 0
50 0.6 50 8 8 50 0.6 50 12.3 0.000212413 0
50 0.6 50 16 16 50 0.6 50 5.08 0.000139952 0
100 0.6 50 1 1 100 0.6 50 195.52 0.00202758 0.7
100 0.6 50 2 2 100 0.6 50 115.3 0.00201918 0
100 0.6 50 4 4 100 0.6 50 60.12 0.00141577 0
100 0.6 50 8 8 100 0.6 50 29.72 0.000909966 0
100 0.6 50 16 16 100 0.6 50 13.44 0.000536443 0
500 0.6 50 1 1 500 0.6 50 1261.9 0.360405 0.98
500 0.6 50 2 2 500 0.6 50 669.7 0.279065 0
500 0.6 50 4 4 500 0.6 50 355.38 0.182172 0
500 0.6 50 8 8 500 0.6 50 194.82 0.11861 0
500 0.6 50 16 16 500 0.6 50 98.76 0.081236 0
